Name,Type,HP,Attack,Defense,Speed,Generation,Legendary
Bulbasaur,Grass,45,49,49,45,1,FALSE
Ivysaur,Grass,60,62,63,60,1,FALSE
Venusaur,Grass,80,82,83,80,1,FALSE
Charmander,Fire,39,52,43,65,1,FALSE
Charmeleon,Fire,58,64,58,80,1,FALSE
Charizard,Fire,78,84,78,100,1,FALSE
Squirtle,Water,44,48,65,43,1,FALSE
Wartortle,Water,59,63,80,58,1,FALSE
Blastoise,Water,79,83,100,78,1,FALSE
Caterpie,Bug,45,30,35,45,1,FALSE
Metapod,Bug,50,20,55,30,1,FALSE
Butterfree,Bug,60,45,50,70,1,FALSE
Weedle,Bug,40,35,30,50,1,FALSE
Kakuna,Bug,45,25,50,35,1,FALSE
Beedrill,Bug,65,90,40,75,1,FALSE
Pidgey,Normal,40,45,40,56,1,FALSE
Pidgeotto,Normal,63,60,55,71,1,FALSE
Pidgeot,Normal,83,80,75,101,1,FALSE
Rattata,Normal,30,56,35,72,1,FALSE
Raticate,Normal,55,81,60,97,1,FALSE
Spearow,Normal,40,60,30,70,1,FALSE
Fearow,Normal,65,90,65,100,1,FALSE
Ekans,Poison,35,60,44,55,1,FALSE
Arbok,Poison,60,85,69,80,1,FALSE
Pikachu,Electric,35,55,40,90,1,FALSE
Raichu,Electric,60,90,55,110,1,FALSE
Sandshrew,Ground,50,75,85,40,1,FALSE
Sandslash,Ground,75,100,110,65,1,FALSE
Nidoran♀,Poison,55,47,52,41,1,FALSE
Nidorina,Poison,70,62,67,56,1,FALSE
Nidoqueen,Poison,90,92,87,76,1,FALSE
Nidoran♂,Poison,46,57,40,50,1,FALSE
Nidorino,Poison,61,72,57,65,1,FALSE
Nidoking,Poison,81,102,77,85,1,FALSE
Clefairy,Fairy,70,45,48,35,1,FALSE
Clefable,Fairy,95,70,73,60,1,FALSE
Vulpix,Fire,38,41,40,65,1,FALSE
Ninetales,Fire,73,76,75,100,1,FALSE
Jigglypuff,Normal,115,45,20,20,1,FALSE
Wigglytuff,Normal,140,70,45,45,1,FALSE
Zubat,Poison,40,45,35,55,1,FALSE
Golbat,Poison,75,80,70,90,1,FALSE
Oddish,Grass,45,50,55,30,1,FALSE
Gloom,Grass,60,65,70,40,1,FALSE
Vileplume,Grass,75,80,85,50,1,FALSE
Paras,Bug,35,70,55,25,1,FALSE
Parasect,Bug,60,95,80,30,1,FALSE
Venonat,Bug,60,55,50,45,1,FALSE
Venomoth,Bug,70,65,60,90,1,FALSE
Diglett,Ground,10,55,25,95,1,FALSE
Dugtrio,Ground,35,80,50,120,1,FALSE
Meowth,Normal,40,45,35,90,1,FALSE
Persian,Normal,65,70,60,115,1,FALSE
Psyduck,Water,50,52,48,55,1,FALSE
