Gap,Reaction Time,undergraduate gpa,Exp avg,Sop avg,GPA avg,LoR avg,distance to campus,length,Response-letter sent,last 60/90 gpa,decision 1,decision 2,academic con,campus1,campus2,campus3,campus4,campus5,dposit received,follow up,1411,272,1632,1645,master or not,term,1st gen,residency,response
0,1.28165827,0,0.789351278,0.967456886,1.04793516,1.210125981,0.042363619,0.920614828,0.681885868,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1.160672693,1.222046258,0,1.262962044,0.846524776,1.04793516,0.672292211,0.037200987,0.920614828,0.762107735,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
0,0.23844805,0.402623718,0,0,0,0,0.084369301,0.920614828,0.681885868,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16.99796749,2.503704528,0.680190069,1.578702555,0.725592665,0.26198379,0.806750654,0.033190427,1.380922242,0.200554667,4.286396174,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
0.87591138,0.923986195,0.686290428,1.105091789,0.967456886,0.26198379,0.806750654,0.793829273,1.380922242,0,3.259616862,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1
1.721784647,0.089418019,0.722892584,1.262962044,0.967456886,0.52396758,1.075667538,0.016034345,1.380922242,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1
0.078099094,0.715344151,0.728992943,1.578702555,0.967456886,1.04793516,1.075667538,0.071897326,1.841229656,0.200554667,4.530867438,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1
0.034844211,0.745150157,0.732043123,0.789351278,0.604660554,0.78595137,0.941209096,0.181533265,1.380922242,0.1203328,5.101300389,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
0.259529298,0.730247154,0.735093303,1.4208323,0.967456886,0.654959475,1.075667538,0.015601661,1.380922242,0.481331201,5.003511883,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
2.230029522,0.968695204,0.735093303,1.578702555,1.209321108,1.30991895,1.075667538,0.064138579,0.920614828,0.681885868,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
2.43909479,0.342769072,0.735093303,1.262962044,0.725592665,0.78595137,0.806750654,5.340716615,1.380922242,0.401109334,4.514569354,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
8.618535433,1.102822232,0.741193662,0.947221533,0.967456886,0.78595137,1.075667538,0.0093343,1.380922242,0.080221867,4.090819162,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1
7.382166695,1.102822232,0.741193662,1.4208323,0.846524776,0.392975685,0.941209096,0.059841235,1.380922242,0.681885868,4.221203837,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1
2.875248194,1.833069386,0.744243842,0.631481022,1.088388997,0.26198379,0.806750654,5.456853796,1.380922242,1.644548269,4.123415331,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.092517389,2.295062484,0.756444561,1.105091789,0.846524776,0.52396758,1.075667538,0.089753938,1.380922242,0,4.367886595,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1
0.766572648,2.771958584,0.756444561,0.789351278,0.725592665,0.26198379,0.941209096,0.037321886,1.380922242,0,4.61235786,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1
5.5258113,0.983598207,0.756444561,1.578702555,1.088388997,0.392975685,0.941209096,0.066216659,1.380922242,0.160443734,4.514569354,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1
0.270343019,0.864374182,0.75949474,0.947221533,0.967456886,0.78595137,0.941209096,0.04899138,1.380922242,0.521442134,4.547165523,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
2.108675545,0.864374182,0.75949474,1.4208323,0.846524776,0.392975685,1.075667538,0.044935342,1.380922242,0.040110933,4.286396174,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1
0,0.80476217,0.683240248,0.947221533,1.330253219,0.26198379,0.672292211,0.016517399,1.380922242,1.925324803,3.373703452,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
0,0.80476217,0.686290428,0.947221533,1.209321108,0.26198379,0.672292211,0.015201109,1.841229656,0,3.993030656,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
0.340031441,0.76005316,0.768645279,0,0,0,0,0.033691319,1.380922242,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
0.106935683,0.879277185,0.771695459,1.578702555,0.725592665,0.52396758,1.075667538,0.078208935,0.920614828,0,4.791636787,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
0.056471653,2.309965487,0.774745639,0.631481022,0.241864222,0.52396758,1.344584423,0.048163006,1.380922242,0,5.003511883,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1
0.26793997,1.400882295,0.774745639,1.262962044,0.967456886,0.52396758,0.806750654,0.017897467,1.380922242,0.401109334,4.677550197,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
